SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Condo/Co-op,227 NW 39th St #227,Miami,FL,33127,1050000,3,2.0,,1656,,2021,,634,,,,,https://www.redfin.com/FL/Miami/227-NW-39th-St-33127/unit-227/home/167998297,,,N,Y,25.812714,-80.200119
PAST SALE,April-6-2022,Multi-Family (2-4 Unit),4200 NW 1st Ave,Miami,FL,33127,695000,8,4.0,BUENA VISTA HEIGHTS ADDN,1350,,1951,,515,,Sold,,,https://www.redfin.com/FL/Miami/4200-NW-1st-Ave-33127/home/42683858,MARMLS,A11150067,N,Y,25.8152483,-80.1976965
PAST SALE,June-1-2021,Single Family Residential,135 NE 45th St,Miami,FL,33137,822000,4,2.5,SHADOWLAWN,1815,6250,1923,,453,,Sold,,,https://www.redfin.com/FL/Miami/135-NE-45th-St-33137/home/42689468,MARMLS,A10878487,N,Y,25.8172224,-80.1928026
PAST SALE,May-17-2021,Single Family Residential,39 NW 49th St,Miami,FL,33127,370000,4,2.0,PULLMAN PK,1330,5500,1938,,278,,Sold,,,https://www.redfin.com/FL/Miami/39-NW-49th-St-33127/home/42690134,MARMLS,A11010884,N,Y,25.8210471,-80.1965946
PAST SALE,February-22-2022,Single Family Residential,121 NW 46th St,Miami,FL,33127,420000,2,1.0,SHADOWLAWN EXTENSION SUB,824,5000,1949,,510,,Sold,,,https://www.redfin.com/FL/Miami/121-NW-46th-St-33127/home/42690039,MARMLS,A11148875,N,Y,25.8179943,-80.1981201
PAST SALE,January-27-2022,Single Family Residential,269 NW 45th St,Miami,FL,33127,405000,2,1.0,COLUMBIA PARK CORR PL,725,5800,1939,,559,,Sold,,,https://www.redfin.com/FL/Miami/269-NW-45th-St-33127/home/42690739,MARMLS,A11140921,N,Y,25.8170972,-80.2010838
PAST SALE,January-31-2022,Single Family Residential,190 NW 47th St,Miami,FL,33127,536500,3,2.0,SHADOWLAWN EXTENSION SUB,1173,5000,1952,,457,,Sold,,,https://www.redfin.com/FL/Miami/190-NW-47th-St-33127/home/42691009,MARMLS,A11123895,N,Y,25.8182968,-80.1992097
PAST SALE,March-14-2022,Single Family Residential,421 NW 44th St,Miami,FL,33127,649900,3,2.0,COLUMBIA PARK CORR PL,1150,5400,1933,,565,,Sold,,,https://www.redfin.com/FL/Miami/421-NW-44th-St-33127/home/42688764,MARMLS,A11101109,N,Y,25.8163211,-80.2031322
PAST SALE,May-2-2022,Multi-Family (2-4 Unit),270 NW 53rd St,Miami,FL,33127,820000,8,4.0,Railway Shops Addn 2nd Amd,2878,7200,2013,,285,,Sold,,,https://www.redfin.com/FL/Miami/270-NW-53rd-St-33127/home/45070879,Beaches MLS,RX-10785814,N,Y,25.8239304,-80.2013453
PAST SALE,May-13-2021,Multi-Family (2-4 Unit),37 NW 52nd St,Miami,FL,33127,500000,5,4.0,RAILWAY SHOPS ADDN 2ND AM,2456,,1920,,204,,Sold,,,https://www.redfin.com/FL/Miami/37-NW-52nd-St-33127/home/42691501,MARMLS,A10997380,N,Y,25.8235658,-80.1966382
